ID,x_data,y_data,coverage,redundancy,effort,ideal_coverage
198,41,15,327,0.001310616,24.04163056,247.25
199,41,14,327,0.001316932,24.04163056,248.5
200,42,14,329,0.001316251,24.04163056,249.75
201,41,14,329,0.001322528,24.04163056,251
202,41,15,329,0.001324621,24.04163056,252.25
203,41,14,329,0.001330899,24.04163056,253.5
204,41,13,329,0.001338223,24.04163056,254.75
205,41,12,329,0.001345547,24.04163056,256
206,41,11,329,0.001353918,24.04163056,257.25
207,40,11,329,0.001362288,24.04163056,258.5
208,39,11,329,0.001370658,24.04163056,259.75
209,38,11,330,0.00137485,24.04163056,261
210,37,10,330,0.001381109,25.45584412,262.25
211,38,10,330,0.001388411,25.45584412,263.5
212,38,9,330,0.00139467,25.45584412,264.75
213,37,9,330,0.001398842,25.45584412,266
214,37,8,330,0.001401972,25.45584412,267.25
215,37,7,331,0.001400856,25.45584412,268.5
216,38,6,334,0.001392396,26.87005769,269.75
217,38,5,336,0.001388206,26.87005769,271
218,38,4,338,0.001384065,26.87005769,272.25
219,38,3,341,0.001376936,26.87005769,273.5
220,39,3,344,0.001370932,26.87005769,274.75
221,39,2,346,0.001368977,26.87005769,276
222,40,2,349,0.001363127,26.87005769,277.25
223,40,3,351,0.001363206,26.87005769,278.5
224,41,3,354,0.001359433,26.87005769,279.75
225,42,4,357,0.001355723,28.28427125,281
226,42,5,359,0.001355841,28.28427125,282.25
227,43,5,361,0.001355958,28.28427125,283.5
228,44,6,363,0.001356074,29.69848481,284.75
229,45,6,365,0.001356188,29.69848481,286
230,45,5,369,0.00134895,29.69848481,287.25
231,44,5,369,0.001356413,29.69848481,288.5
232,44,4,372,0.001352877,29.69848481,289.75
233,44,3,375,0.001349398,29.69848481,291
234,44,2,377,0.001347718,29.69848481,292.25
235,45,2,380,0.001342513,29.69848481,293.5
236,45,1,384,0.001333907,29.69848481,294.75
237,46,1,387,0.001328904,29.69848481,296
238,47,1,390,0.001323977,29.69848481,297.25
239,48,1,393,0.001319126,29.69848481,298.5
240,49,1,396,0.001314348,29.69848481,299.75
241,50,1,399,0.001309642,29.69848481,301
242,51,1,402,0.001305007,29.69848481,302.25
243,51,2,404,0.001303659,29.69848481,303.5
244,51,3,406,0.00130402,29.69848481,304.75
245,51,4,410,0.001298014,29.69848481,306
246,50,4,413,0.001295254,29.69848481,307.25
247,50,4,413,0.001301922,29.69848481,308.5
248,50,4,413,0.00130859,29.69848481,309.75
249,49,4,416,0.001305773,29.69848481,311
250,49,4,416,0.001312392,29.69848481,312.25
251,49,4,416,0.001319012,29.69848481,313.5
252,49,5,420,0.001313007,29.69848481,314.75
253,49,6,423,0.001310205,29.69848481,316
254,49,6,423,0.001316716,29.69848481,317.25
255,49,6,423,0.001323226,29.69848481,318.5
256,49,5,423,0.001329736,29.69848481,319.75
257,48,5,425,0.001329958,29.69848481,321
258,47,5,426,0.001333301,29.69848481,322.25
259,46,4,426,0.001339766,31.11269837,323.5
260,45,4,426,0.00134623,31.11269837,324.75
261,44,4,426,0.001352694,31.11269837,326
262,43,4,426,0.001359159,31.11269837,327.25
263,42,3,427,0.001362425,32.52691193,328.5
264,41,3,427,0.001368875,32.52691193,329.75
265,40,3,427,0.001375324,32.52691193,331
266,39,2,427,0.001380161,33.9411255,332.25
267,38,3,427,0.001384192,35.35533906,333.5
268,38,4,427,0.001387417,35.35533906,334.75
269,38,5,427,0.001390641,35.35533906,336
270,37,6,428,0.001390609,36.76955262,337.25
271,37,7,428,0.001393022,36.76955262,338.5
272,38,7,428,0.001395435,36.76955262,339.75
273,37,7,428,0.001397848,36.76955262,341
274,37,8,428,0.001400261,36.76955262,342.25
275,37,9,428,0.001403478,36.76955262,343.5
276,36,9,428,0.001408303,36.76955262,344.75
277,35,10,428,0.001413129,38.18376618,346
278,34,9,428,0.001419563,39.59797975,347.25
279,33,9,428,0.001425998,39.59797975,348.5
280,33,8,428,0.001431628,39.59797975,349.75
281,33,9,428,0.001438062,39.59797975,351
282,32,9,428,0.001444496,39.59797975,352.25
283,32,10,430,0.001444182,39.59797975,353.5
284,31,10,431,0.001446422,39.59797975,354.75
285,32,10,431,0.001452812,39.59797975,356
286,33,10,432,0.001455823,39.59797975,357.25
287,34,11,434,0.00145546,41.01219331,358.5
288,35,11,435,0.001458445,41.01219331,359.75
289,35,12,437,0.001458072,41.01219331,361
290,36,12,439,0.001457702,41.01219331,362.25
291,36,13,441,0.001457336,41.01219331,363.5
292,36,14,443,0.001456196,41.01219331,364.75
293,36,15,446,0.001451032,41.01219331,366
294,36,16,449,0.001445936,41.01219331,367.25
295,36,17,452,0.001440909,41.01219331,368.5
296,37,17,454,0.001440627,41.01219331,369.75
297,38,17,455,0.001442757,41.01219331,371
298,38,18,456,0.001444877,41.01219331,372.25
299,39,18,458,0.001443077,41.01219331,373.5
300,40,18,459,0.001441433,41.01219331,374.75
301,41,18,460,0.001439796,41.01219331,376
302,42,18,461,0.001438167,41.01219331,377.25
303,43,18,463,0.001434185,41.01219331,378.5
304,44,18,467,0.001426323,41.01219331,379.75
305,45,19,468,0.001426218,42.42640687,381
306,45,20,469,0.001426847,42.42640687,382.25
307,45,21,472,0.001421424,42.42640687,383.5
308,45,22,474,0.001419058,42.42640687,384.75
309,45,23,476,0.001415988,42.42640687,386
310,45,24,478,0.001412944,42.42640687,387.25
311,45,24,478,0.001415825,42.42640687,388.5
312,45,24,478,0.001418705,42.42640687,389.75
313,44,24,480,0.001415663,42.42640687,391
314,44,25,482,0.001412645,42.42640687,392.25
315,44,24,482,0.001415502,42.42640687,393.5
316,43,24,482,0.00141693,42.42640687,394.75
317,42,24,483,0.001416135,42.42640687,396
318,43,24,483,0.00141756,42.42640687,397.25
319,44,24,483,0.001420411,42.42640687,398.5
320,45,23,483,0.001423262,43.84062043,399.95
321,45,22,483,0.001426825,43.84062043,401.4
322,45,21,483,0.001430389,43.84062043,402.85
323,44,21,484,0.001431701,43.84062043,404.3
324,44,20,484,0.001435968,43.84062043,405.75
325,44,19,484,0.001440236,43.84062043,407.2
326,44,20,484,0.001444503,43.84062043,408.65
327,43,20,484,0.001447348,43.84062043,410.1
328,42,20,485,0.001447912,43.84062043,411.55
329,41,20,487,0.001446207,43.84062043,413
330,41,20,487,0.001450448,43.84062043,414.45
331,41,20,487,0.001454689,43.84062043,415.9
332,42,20,487,0.001458224,43.84062043,417.35
333,42,21,488,0.001457352,43.84062043,418.8
334,42,20,488,0.001460879,43.84062043,420.25
335,43,20,488,0.0014637,43.84062043,421.7
336,44,20,488,0.001467933,43.84062043,423.15
337,45,20,488,0.00147146,43.84062043,424.6
338,45,21,488,0.001474987,43.84062043,426.05
339,46,21,488,0.001477808,43.84062043,427.5
340,47,21,488,0.001477808,43.84062043,428.95
341,48,21,492,0.001468592,43.84062043,430.4
342,49,21,496,0.001460913,43.84062043,431.85
343,49,22,498,0.001459193,43.84062043,433.3
344,50,22,501,0.001455952,43.84062043,434.75
345,51,22,504,0.00145275,43.84062043,436.2
346,52,21,510,0.001441058,45.254834,437.65
347,51,21,512,0.001440808,45.254834,439.1
