ID,x_data,y_data,test_val
554,82,25,1
555,82,25,1
556,82,24,1
557,82,23,1
558,82,22,1
559,83,22,1
560,83,22,1
561,83,22,1
562,82,23,1
563,82,24,1
564,82,25,1
565,81,25,1
566,81,24,1
567,80,24,1
568,80,25,1
569,79,25,1
570,78,25,1
571,77,25,1
572,76,25,1
573,75,25,1
574,74,25,1
575,73,25,1
576,73,24,1
577,72,24,1
578,72,23,1
579,72,22,1
580,72,21,1
581,73,20,1
582,73,19,1
583,74,19,1
584,73,19,1
585,73,20,1
586,73,21,1
587,73,22,1
588,73,23,1
589,73,24,1
590,73,25,1
591,73,26,1
592,73,27,1
593,73,28,1
594,73,29,1
595,73,30,1
596,73,31,1
597,73,32,1
598,73,33,1
599,73,34,1
600,73,35,1
601,73,36,1
602,73,37,1
603,74,37,1
604,74,38,1
605,75,38,1
606,75,39,1
607,76,39,1
608,76,40,1
609,76,41,1
610,76,42,1
611,76,43,1
612,77,43,1
613,77,44,1
614,76,45,1
615,76,46,1
616,77,47,1
617,78,47,1
618,79,47,1
619,79,48,1
620,80,48,1
621,80,48,1
622,80,48,1
623,80,47,1
624,80,46,1
625,80,45,1
626,80,44,1
627,80,43,1
628,81,43,1
629,81,42,1
630,82,42,1
631,82,42,1
632,82,42,1
633,81,42,1
634,80,43,1
635,79,43,1
636,79,44,1
637,79,45,1
638,80,45,1
639,79,46,1
640,79,47,1
641,78,47,1
642,77,47,1
643,76,46,1
644,76,45,1
645,77,45,1
646,77,44,1
647,76,43,1
648,76,42,1
649,76,41,1
650,76,40,1
651,76,39,1
652,76,38,1
653,76,37,1
654,76,36,1
655,76,35,1
656,76,34,1
657,76,33,1
658,76,32,1
659,76,31,1
660,76,30,1
661,77,30,1
662,77,29,1
663,77,28,1
664,78,28,1
665,78,27,1
666,79,27,1
667,80,27,1
668,81,27,1
669,82,27,1
670,82,27,1
671,82,27,1
672,82,28,1
673,82,27,1
674,81,27,1
675,80,27,1
676,80,28,1
677,80,29,1
678,79,29,1
679,80,30,1
680,80,31,1
681,80,32,1
682,80,33,1
683,81,33,1
684,81,33,1
685,81,33,1
686,81,32,1
687,80,32,1
688,80,31,1
689,79,31,1
690,80,31,1
691,80,30,1
692,80,29,1
693,79,29,1
694,79,28,1
695,79,27,1
696,78,28,1
697,78,29,1
698,77,29,1
699,76,30,1
700,76,31,1
701,76,32,1
702,76,33,1
703,76,34,1
704,76,35,1
705,76,36,1
706,76,37,1
707,76,38,1
708,76,39,1
709,75,39,1
710,75,38,1
711,74,38,1
712,73,37,1
713,73,38,1
714,72,38,1
715,71,39,1
716,70,38,1
717,69,37,1
718,68,38,1
719,68,39,1
720,67,39,1
721,68,39,1
722,67,39,1
723,67,40,1
724,67,41,1
725,67,42,1
726,67,43,1
727,67,44,1
728,67,45,1
729,67,46,1
730,67,47,1
731,67,48,1
732,68,48,1
733,69,48,1
734,70,48,1
735,70,47,1
736,69,47,1
737,68,47,1
738,68,46,1
739,68,45,1
740,67,44,1
741,67,43,1
742,67,42,1
743,67,41,1
744,67,40,1
745,67,39,1
746,67,38,1
747,67,37,1
748,66,37,1
749,66,38,1
750,65,38,1
751,64,38,1
752,63,38,1
753,62,38,1
754,61,38,1
755,61,37,1
756,60,37,1
757,59,37,1
758,58,37,1
759,58,38,1
760,59,39,1
761,60,39,1
762,59,39,1
763,58,39,1
764,58,40,1
765,58,41,1
766,58,42,1
767,58,43,1
768,58,44,1
769,58,45,1
770,58,46,1
771,59,46,1
772,59,47,1
773,60,47,1
774,61,47,1
775,62,47,1
776,62,48,1
777,63,48,1
778,62,48,1
779,62,48,1
780,62,48,1
781,61,47,1
782,61,46,1
783,62,46,1
784,62,45,1
785,62,44,1
786,62,43,1
787,62,44,1
788,62,43,1
789,62,42,1
790,63,42,1
791,62,42,1
792,62,43,1
793,61,43,1
794,61,44,1
795,61,45,1
796,62,46,1
797,61,46,1
798,60,46,1
799,59,46,1
800,59,45,1
801,59,44,1
802,59,43,1
803,58,43,1
804,58,42,1
805,58,41,1
806,58,40,1
807,58,39,1
808,58,38,1
809,58,37,1
810,59,37,1
811,59,36,1
812,58,36,1
813,57,37,1
814,56,37,1
815,56,38,1
816,55,38,1
817,54,38,1
818,54,37,1
819,53,37,1
820,52,37,1
821,51,37,1
822,50,37,1
823,50,38,1
824,50,39,1
825,49,39,1
826,49,40,1
827,49,41,1
828,49,42,1
829,49,43,1
830,49,44,1
831,49,45,1
832,49,46,1
833,49,47,1
834,50,47,1
835,50,48,1
836,51,48,1
837,52,48,1
838,51,48,1
839,50,48,1
840,50,47,1
841,51,46,1
842,50,46,1
843,49,46,1
844,49,45,1
845,49,44,1
846,50,44,1
847,50,43,1
848,50,42,1
849,50,41,1
850,49,41,1
851,49,40,1
852,49,39,1
853,49,38,1
854,48,38,1
855,47,38,1
856,46,38,1
857,45,38,1
858,44,37,1
859,44,36,1
860,45,36,1
861,44,36,1
862,44,37,1
863,43,37,1
864,42,37,1
865,41,37,1
866,41,38,1
867,40,38,1
868,40,39,1
869,40,40,1
870,40,41,1
871,40,42,1
872,40,43,1
873,40,44,1
874,40,45,1
875,40,46,1
876,41,46,1
877,41,47,1
878,42,47,1
879,43,47,1
880,43,46,1
881,42,46,1
882,41,46,1
883,41,45,1
884,41,44,1
885,41,45,1
886,41,46,1
887,41,47,1
888,42,48,1
889,42,47,1
890,43,47,1
891,43,46,1
892,44,46,1
893,44,45,1
894,43,45,1
895,43,44,1
896,43,43,1
897,43,44,1
898,43,45,1
899,43,46,1
900,42,47,1
901,41,47,1
902,41,46,1
903,41,45,1
904,40,45,1
905,40,44,1
906,41,44,1
907,41,45,1
908,41,46,1
909,41,47,1
910,40,48,1
911,40,47,1
912,39,47,1
913,38,47,1
914,38,48,1
915,37,48,1
916,37,48,1
917,37,48,1
918,36,48,1
919,35,48,1
920,34,48,1
921,34,47,1
922,33,47,1
923,33,46,1
924,32,46,1
925,32,47,1
926,31,47,1
927,30,47,1
928,29,47,1
929,29,48,1
930,28,48,1
931,28,49,1
932,27,49,1
933,28,48,1
934,28,48,1
935,28,48,1
936,28,47,1
937,28,48,1
938,27,48,1
939,27,47,1
940,27,46,1
941,27,45,1
942,26,45,1
943,26,44,1
944,26,43,1
945,26,44,1
946,26,43,1
947,26,43,1
948,26,43,1
949,26,44,1
950,25,44,1
951,25,45,1
952,25,46,1
953,24,46,1
954,23,46,1
955,22,46,1
956,22,47,1
957,22,48,1
958,22,47,1
959,22,46,1
960,23,46,1
961,23,45,1
962,22,45,1
963,22,44,1
964,22,43,1
965,22,42,1
966,22,41,1
967,22,42,1
968,22,43,1
969,22,44,1
970,23,45,1
971,23,46,1
972,23,47,1
973,22,47,1
974,22,48,1
975,22,47,1
976,22,46,1
977,22,47,1
978,21,47,1
979,20,47,1
980,19,47,1
981,19,48,1
982,18,48,1
983,17,48,1
984,17,47,1
985,17,47,1
986,17,47,1
987,17,46,1
988,16,46,1
989,16,45,1
990,17,45,1
991,17,44,1
992,17,43,1
993,18,43,1
994,18,42,1
995,17,42,1
996,17,43,1
997,16,44,1
998,17,45,1
999,17,46,1
1000,16,46,1
1001,15,46,1
1002,14,46,1
1003,13,46,1
1004,13,45,1
1005,13,44,1
1006,13,43,1
1007,13,42,1
1008,13,41,1
1009,13,40,1
1010,13,39,1
1011,13,38,1
1012,13,37,1
1013,12,37,1
1014,11,37,1
1015,10,36,1
1016,9,36,1
1017,8,36,1
1018,7,36,1
1019,6,36,1
1020,5,36,1
1021,6,37,1
1022,5,38,1
1023,4,38,1
1024,4,39,1
1025,5,39,1
1026,4,39,1
1027,4,40,1
1028,4,41,1
1029,4,42,1
1030,4,43,1
1031,4,44,1
1032,4,45,1
1033,5,45,1
1034,5,46,1
1035,6,47,1
1036,7,47,1
1037,8,47,1
1038,7,47,1
1039,6,47,1
1040,5,46,1
1041,5,45,1
1042,4,44,1
1043,4,43,1
1044,4,42,1
1045,5,41,1
1046,4,41,1
1047,4,40,1
1048,4,39,1
1049,4,38,1
1050,4,37,1
1051,5,37,1
1052,5,38,1
1053,6,38,1
1054,7,38,1
1055,8,38,1
1056,9,38,1
1057,10,38,1
1058,11,38,1
1059,12,38,1
1060,13,37,1
1061,14,37,1
1062,15,37,1
1063,16,37,1
1064,17,37,1
1065,18,37,1
1066,19,37,1
1067,19,38,1
1068,20,38,1
1069,20,39,1
1070,21,39,1
1071,22,39,1
1072,22,38,1
1073,23,37,1
1074,24,37,1
